"filename", "language", "JSON with Comments", "JSON", "SCSS", "XML", "TypeScript", "HTML", "JavaScript", "Swift", "comment", "blank", "total"
"c:\Users\oscar\Proyect1\.eslintrc.json", "JSON with Comments", 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\oscar\Proyect1\angular.json", "JSON", 0, 157, 0, 0, 0, 0, 0, 0, 8, 0, 165
"c:\Users\oscar\Proyect1\capacitor.config.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\oscar\Proyect1\config\proyect1-80428-firebase-adminsdk-gt3on-77b4cfaffc.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\oscar\Proyect1\database.rules.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 7
"c:\Users\oscar\Proyect1\firebase.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 15, 0, 22
"c:\Users\oscar\Proyect1\firestore.indexes.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\oscar\Proyect1\ionic.config.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\oscar\Proyect1\ios\App\App.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\oscar\Proyect1\ios\App\App\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 25, 13, 12, 50
"c:\Users\oscar\Proyect1\ios\App\App\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 116
"c:\Users\oscar\Proyect1\ios\App\App\Assets.xcassets\Contents.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\oscar\Proyect1\ios\App\App\Assets.xcassets\Splash.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\oscar\Proyect1\ios\App\App\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 1, 1, 33
"c:\Users\oscar\Proyect1\ios\App\App\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 1, 20
"c:\Users\oscar\Proyect1\ios\App\App\Info.plist", "XML", 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
