"filename", "language", "JSON", "SCSS", "HTML", "TypeScript", "comment", "blank", "total"
"c:\Users\oscar\Proyect1\package-lock.json", "JSON", 13, 0, 0, 0, 0, 0, 13
"c:\Users\oscar\Proyect1\package.json", "JSON", 2, 0, 0, 0, 0, 0, 2
"c:\Users\oscar\Proyect1\src\app\detail\detail.page.html", "HTML", 0, 0, 21, 0, 0, 3, 24
"c:\Users\oscar\Proyect1\src\app\detail\detail.page.scss", "SCSS", 0, 5, 0, 0, 1, 2, 8
"c:\Users\oscar\Proyect1\src\app\detail\detail.page.ts", "TypeScript", 0, 0, 0, 43, 1, 4, 48
"c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.page.ts", "TypeScript", 0, 0, 0, 15, 0, 2, 17
"c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.page.ts", "TypeScript", 0, 0, 0, 22, 0, 3, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.page.ts", "TypeScript", 0, 0, 0, 17, -7, 1, 11
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.page.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 17
"c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.page.ts", "TypeScript", 0, 0, 0, 17, 0, 2, 19
"c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.page.ts", "TypeScript", 0, 0, 0, 20, -7, 2, 15
"c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.page.ts", "TypeScript", 0, 0, 0, 17, 0, 2, 19
"c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.page.ts", "TypeScript", 0, 0, 0, 17, 0, 3, 20
"c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.page.ts", "TypeScript", 0, 0, 0, 22, -6, -3, 13
"c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.page.ts", "TypeScript", 0, 0, 0, 15, 0, 2, 17
"c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.page.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 15
"c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.page.ts", "TypeScript", 0, 0, 0, 16, 0, 2, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.page.ts", "TypeScript", 0, 0, 0, 15, 0, 2, 17
"c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.page.ts", "TypeScript", 0, 0, 0, 15, 0, 2, 17
"c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.page.ts", "TypeScript", 0, 0, 0, 18, 0, 4, 22
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.page.ts", "TypeScript", 0, 0, 0, 16, 0, 2, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.page.ts", "TypeScript", 0, 0, 0, 17, 0, 2, 19
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.page.ts", "TypeScript", 0, 0, 0, 16, 0, 1, 17
"c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.page.ts", "TypeScript", 0, 0, 0, 18, 0, 2, 20
"c:\Users\oscar\Proyect1\src\app\detail\modal-renta\modal-renta.page.ts", "TypeScript", 0, 0, 0, 22, 0, 2, 24
"c:\Users\oscar\Proyect1\src\app\detail\modal-user-cv\modal-user-cv.page.ts", "TypeScript", 0, 0, 0, 21, 0, 1, 22
"c:\Users\oscar\Proyect1\src\app\register\register.page.html", "HTML", 0, 0, 3, 0, 1, 1, 5
"c:\Users\oscar\Proyect1\src\app\register\register.page.scss", "SCSS", 0, 13, 0, 0, 1, 4, 18
"c:\Users\oscar\Proyect1\src\app\register\register.page.ts", "TypeScript", 0, 0, 0, 11, 13, 3, 27
"c:\Users\oscar\Proyect1\src\app\services\auth.service.ts", "TypeScript", 0, 0, 0, 2, 27, 7, 36
"c:\Users\oscar\Proyect1\src\app\services\datos-cheque.service.ts", "TypeScript", 0, 0, 0, 2, 0, 1, 3
"c:\Users\oscar\Proyect1\src\app\services\datos-contrato.service.ts", "TypeScript", 0, 0, 0, 3, 0, 1, 4
"c:\Users\oscar\Proyect1\src\app\services\datos-curriculum.service.ts", "TypeScript", 0, 0, 0, 5, 0, 1, 6
"c:\Users\oscar\Proyect1\src\app\services\datos-pagare.service.ts", "TypeScript", 0, 0, 0, 3, 0, 1, 4
"c:\Users\oscar\Proyect1\src\app\services\datos-prestamo.service.ts", "TypeScript", 0, 0, 0, 4, 0, 1, 5
"c:\Users\oscar\Proyect1\src\app\services\datosfactura.service.ts", "TypeScript", 0, 0, 0, 4, 0, 1, 5
"c:\Users\oscar\Proyect1\src\app\services\firestore-data.service.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 1
"Total", "-", 15, 18, 24, 446, 24, 64, 591
